brand,model,type,wattage,power_unit,nicknames
ARRI,M18,HMI,1800,ballast,
ARRI,M40,HMI,4k,ballast,
ARRI,M90,HMI,9k,ballast,
ARRI,Arrimax 18/12,HMI,18k,ballast,
ARRI,Compact Par 6,HMI,1200,ballast,
ARRI,Daylight Compact 2500,HMI,2500,ballast,
ARRI,Daylight Compact 4000,HMI,4k,ballast,
ARRI,150 Plus,Tungsten,150,none,
ARRI,300 Plus,Tungsten,300,none,
ARRI,650 Plus,Tungsten,650,none,
ARRI,1000 Plus,Tungsten,1000,none,
ARRI,2000 Plus,Tungsten,2000,none,
ARRI,SkyPanel S30-C,LED,220,none,
ARRI,SkyPanel S60-C,LED,450,none,
ARRI,SkyPanel S360-C,LED,2500,external driver,
ARRI,Orbiter,LED,400,none,
Mole-Richardson,Baby-Baby 1K,Tungsten,1000,none,
Mole-Richardson,Junior 2K,Tungsten,2000,none,
Mole-Richardson,Senior 5K,Tungsten,5000,none,
Mole-Richardson,Tweenie 650,Tungsten,650,none,
Mole-Richardson,Tener-Tenner 10K,HMI,10k,ballast,
LTM,Pepper 650,Tungsten,650,none,
LTM,Cinepar 1200,HMI,1200,ballast,
Joker-Bug,Joker-Bug 400,HMI,400,ballast,
Joker-Bug,Joker-Bug 800,HMI,800,ballast,
Joker-Bug,Joker-Bug 1600,HMI,1600,ballast,
Kino Flo,Diva-Lite 401,Fluorescent,220,ballast,
Kino Flo,4Bank,Fluorescent,220,ballast,
Kino Flo,Image 80,Fluorescent,440,ballast,
Kino Flo,Diva-Lite LED,LED,90,none,
Kino Flo,Celeb 450 LED,LED,250,none,
Kino Flo,FreeStyle 31 LED,LED,150,none,
Litepanels,Gemini 2x1,LED,220,none,
Litepanels,Astra 6X,LED,125,none,
Astera,AX1 PixelTube,LED,12,none,
Astera,Titan Tube,LED,60,none,
Aputure,300d Mark II,LED,300,external driver,
Aputure,600d Pro,LED,600,external driver,
Aputure,Nova P600c,LED,600,none,
Quasar Science,Rainbow 2 Linear,LED,80,none,
Creamsource,Vortex8,LED,800,external driver,
Lowel,Omni-light,Tungsten,500,none,
Lowel,DP,Tungsten,1000,none,
ETC,Source Four 750W,Tungsten,750,none,
ETC,Source Four LED Series 2 Lustr,LED,90,none,
ARRI,ARRI Junior 150,Tungsten,150,none,
ARRI,ARRI Junior 300 Plus,Tungsten,300,none,
ARRI,ARRI Junior 650,Tungsten,650,none,
ARRI,ARRILITE 650 Plus,Tungsten,650,none,
ARRI,ARRILITE 750 Plus,Tungsten,750,none,
ARRI,ARRILITE 2000,Tungsten,2000,none,
ARRI,True Blue T1,Tungsten,1000,none,
ARRI,True Blue T2,Tungsten,2000,none,
ARRI,True Blue T5,Tungsten,5000,none,
ARRI,Studio T12,Tungsten,12000,none,
ARRI,Studio T24,Tungsten,24000,none,
Mole-Richardson,InBetweenie,Tungsten,200,none,
Mole-Richardson,Betweenie,Tungsten,300,none,
Mole-Richardson,Tweenie II,Tungsten,650,none,
Mole-Richardson,Baby-Baby Solarspot,Tungsten,1000,none,
Mole-Richardson,Baby Solarspot (6-inch),Tungsten,1000,none,
Mole-Richardson,Junior Solarspot,Tungsten,2000,none,
Mole-Richardson,Baby Junior Solarspot,Tungsten,2000,none,
Mole-Richardson,Senior Solarspot,Tungsten,5000,none,
Mole-Richardson,Baby Senior Solarspot,Tungsten,5000,none,
Mole-Richardson,Baby Tener Solarspot,Tungsten,10000,none,
Mole-Richardson,Tener / Big Eye Solarspot,Tungsten,12000,none,
Mole-Richardson,Baby Twelver Solarspot,Tungsten,12000,none,
Mole-Richardson,20K Solarspot,Tungsten,20000,none,
Mole-Richardson,Mighty Mole 2K,Tungsten,2000,none,
Mole-Richardson,Baby-Zip Softlite 2K,Tungsten,2000,none,
Lowel,Pro-light,Tungsten,250,none,
Lowel,Omni-light,Tungsten,500,none,
Lowel,Tota-light,Tungsten,750,none,
Lowel,V-light,Tungsten,500,none,
Lowel,DP-light,Tungsten,1000,none,
Lowel,Rifa-lite 55,Tungsten,500,none,
Lowel,Rifa-lite 66,Tungsten,750,none,
Lowel,Rifa-lite 88,Tungsten,1000,none,
LTM,Pepper 100/200,Tungsten,200,none,
Desisti,Magis 500,Tungsten,500,none,
Desisti,Leonardo 2K,Tungsten,2000,none,
Desisti,Leonardo 5K,Tungsten,5000,none,
